t_sec,area_coverage,repeat_coverage
5.87,0.005796,0.000000
9.03,0.010875,0.199827
22.90,0.012357,0.264006
25.78,0.012357,0.328005
48.46,0.012357,0.570670
58.15,0.022550,0.328431
61.59,0.039169,0.000000
75.19,0.054553,0.000000
86.08,0.072806,0.000000
89.26,0.094869,0.000000
97.70,0.117930,0.000000
108.80,0.133755,0.000000
111.69,0.144713,0.000000
115.61,0.154272,0.000000
127.53,0.162890,0.000000
146.50,0.167734,0.000000
149.40,0.188003,0.000000
152.32,0.211888,0.000000
167.61,0.233056,0.000000
173.26,0.252491,0.000000
176.16,0.268775,0.000000
181.36,0.278110,0.000000
223.96,0.280238,0.000000
235.45,0.297574,0.000000
244.47,0.309231,0.000000
264.49,0.315363,0.000000
286.75,0.332840,0.000000
305.80,0.335197,0.000000
321.11,0.338371,0.000000
344.19,0.343627,0.000000
360.60,0.346260,0.000000
384.76,0.349141,0.000000
387.67,0.369786,0.000000
390.75,0.393718,0.000000
408.85,0.412465,0.000000
412.07,0.435068,0.000000
414.97,0.458277,0.000000
424.08,0.467530,0.000000
440.98,0.467865,0.000000
449.62,0.470663,0.000000
452.65,0.471786,0.000000
459.77,0.472356,0.000000
471.44,0.487464,0.000000
474.77,0.510326,0.000000
479.19,0.526903,0.000000
519.77,0.530425,0.000000
522.70,0.530983,0.000000
540.51,0.534387,0.000000
549.63,0.546761,0.000000
552.53,0.558307,0.000000
556.43,0.567389,0.000000
567.53,0.567389,0.000000
611.44,0.567389,0.000000
614.35,0.567389,0.000000
617.24,0.567389,0.000000
653.46,0.573867,0.000000
656.83,0.596388,0.000000
659.79,0.612266,0.000000
668.74,0.625805,0.000000
682.71,0.627656,0.000000
694.41,0.637027,0.000000
720.33,0.638103,0.000000
774.10,0.642864,0.000000
781.30,0.645692,0.000000
783.95,0.648032,0.000000
798.50,0.651230,0.000000
806.69,0.654086,0.000000
831.19,0.655533,0.000000
842.77,0.660706,0.000000
852.13,0.664627,0.000000
864.52,0.664656,0.000000
878.85,0.665044,0.000000
882.99,0.666943,0.000000
904.83,0.666943,0.000000
