t_sec,x_paper,y_paper
0.000,0.3814,-0.0680
0.333,0.3785,-0.0710
0.500,0.3752,-0.0696
0.833,0.3592,-0.0643
1.000,0.3576,-0.0629
1.167,0.3576,-0.0629
1.667,0.3541,-0.0586
1.833,0.3537,-0.0527
2.000,0.3506,-0.0528
2.167,0.3487,-0.0484
2.333,0.3469,-0.0455
2.667,0.3465,-0.0397
2.833,0.3461,-0.0338
3.000,0.3629,-0.0287
3.333,0.4321,-0.0323
3.500,0.4622,-0.0371
3.667,0.4985,-0.0403
3.833,0.5347,-0.0435
4.000,0.5678,-0.0453
4.167,0.6025,-0.0471
4.333,0.6213,-0.0479
4.500,0.6214,-0.0494
4.667,0.6214,-0.0494
4.833,0.6420,-0.0517
5.000,0.6829,-0.0517
5.167,0.7160,-0.0536
5.333,0.7505,-0.0524
5.500,0.7837,-0.0542
5.667,0.8199,-0.0544
6.167,0.9224,-0.0554
6.667,1.0266,-0.0548
6.833,1.0645,-0.0550
7.333,1.1593,-0.0502
7.500,1.1925,-0.0491
7.667,1.2289,-0.0479
7.833,1.2622,-0.0467
8.000,1.2987,-0.0455
8.167,1.3320,-0.0458
8.333,1.3638,-0.0448
8.500,1.3891,-0.0424
8.833,1.4385,-0.0437
9.000,1.4576,-0.0430
9.167,1.4751,-0.0439
9.333,1.4879,-0.0450
9.500,1.5038,-0.0444
9.833,1.5261,-0.0452
10.167,1.5453,-0.0475
10.333,1.5533,-0.0487
10.500,1.5581,-0.0500
10.667,1.5693,-0.0496
10.833,1.5773,-0.0509
11.000,1.5836,-0.0506
11.167,1.5900,-0.0519
11.333,1.5996,-0.0516
11.667,1.6188,-0.0539
12.167,1.6269,-0.0566
12.333,1.6300,-0.0565
12.500,1.6317,-0.0609
12.667,1.6365,-0.0607
12.833,1.6365,-0.0607
13.000,1.6365,-0.0607
13.167,1.6365,-0.0607
13.333,1.6365,-0.0607
13.500,1.6365,-0.0607
13.667,1.6382,-0.0637
14.500,1.6351,-0.0682
14.833,1.6368,-0.0726
15.500,1.6418,-0.0829
16.000,1.6484,-0.0901
16.333,1.6500,-0.0930
16.500,1.6549,-0.0987
19.000,1.7012,-0.0987
19.333,1.7043,-0.0941
19.500,1.7043,-0.0941
19.667,1.7043,-0.0941
19.833,1.7043,-0.0941
20.000,1.7043,-0.0941
20.333,1.7042,-0.0926
20.500,1.7042,-0.0911
20.667,1.7057,-0.0852
20.833,1.7073,-0.0851
21.000,1.7088,-0.0836
21.167,1.7103,-0.0776
21.333,1.7101,-0.0702
21.667,1.6653,-0.0613
21.833,1.6382,-0.0622
22.000,1.5951,-0.0636
22.500,1.4949,-0.0670
22.667,1.4662,-0.0665
22.833,1.4265,-0.0664
23.000,1.3979,-0.0688
23.167,1.3566,-0.0687
23.333,1.3202,-0.0715
23.667,1.2521,-0.0738
23.833,1.2174,-0.0764
24.000,1.1905,-0.0773
24.167,1.1572,-0.0770
24.333,1.1210,-0.0797
24.500,1.0864,-0.0838
24.667,1.0548,-0.0849
24.833,1.0169,-0.0847
25.000,0.9824,-0.0873
25.167,0.9478,-0.0900
25.333,0.9132,-0.0912
25.500,0.8818,-0.0937
25.667,0.8394,-0.0951
25.833,0.8032,-0.0949
51.667,0.1323,-0.0941
52.000,0.1373,-0.0792
52.167,0.1400,-0.0733
53.000,0.1485,-0.0435
53.167,0.1485,-0.0435
53.333,0.1485,-0.0435
53.500,0.1485,-0.0435
53.667,0.1470,-0.0436
53.833,0.1480,-0.0377
54.000,0.1478,-0.0347
54.500,0.1412,-0.0305
54.667,0.1363,-0.0277
54.833,0.1363,-0.0277
55.000,0.1360,-0.0233
55.167,0.1310,-0.0191
55.333,0.1294,-0.0191
56.000,0.1273,-0.0118
56.167,0.1313,-0.0043
56.667,0.2376,0.0157
56.833,0.2732,0.0214
57.167,0.3356,0.0251
58.000,0.5072,0.0415
58.167,0.5416,0.0442
58.500,0.6045,0.0464
58.667,0.6107,0.0481
58.833,0.6106,0.0496
59.000,0.6341,0.0519
59.167,0.6467,0.0524
59.500,0.7017,0.0558
59.667,0.7363,0.0585
60.000,0.8058,0.0595
60.167,0.8388,0.0636
60.333,0.8752,0.0634
60.500,0.9083,0.0661
60.667,0.9448,0.0659
60.833,0.9780,0.0685
61.167,1.0462,0.0695
61.500,1.1176,0.0720
61.833,1.1844,0.0728
62.000,1.2194,0.0741
62.167,1.2560,0.0754
62.333,1.2815,0.0763
62.500,1.3261,0.0778
62.667,1.3516,0.0772
62.833,1.3723,0.0810
63.000,1.4090,0.0807
63.333,1.4586,0.0810
63.500,1.4762,0.0801
63.667,1.4922,0.0792
63.833,1.5098,0.0798
64.000,1.5227,0.0787
64.167,1.5355,0.0792
64.333,1.5483,0.0767
64.500,1.5564,0.0754
64.667,1.5644,0.0742
64.833,1.5725,0.0730
65.000,1.5789,0.0732
65.167,1.5901,0.0721
65.333,1.5949,0.0738
65.500,1.6061,0.0727
65.667,1.6125,0.0729
65.833,1.6222,0.0702
66.000,1.6286,0.0690
66.167,1.6367,0.0677
66.333,1.6464,0.0651
66.500,1.6464,0.0651
66.667,1.6496,0.0637
66.833,1.6512,0.0637
67.000,1.6512,0.0637
67.167,1.6496,0.0637
67.333,1.6528,0.0623
67.500,1.6528,0.0623
67.667,1.6544,0.0624
67.833,1.6528,0.0623
68.000,1.6528,0.0623
68.167,1.6544,0.0624
68.333,1.6544,0.0624
68.500,1.6544,0.0624
68.667,1.6544,0.0624
68.833,1.6512,0.0622
69.000,1.6544,0.0624
69.167,1.6528,0.0623
69.333,1.6544,0.0624
69.500,1.6544,0.0624
69.667,1.6528,0.0623
69.833,1.6544,0.0624
70.000,1.6528,0.0638
70.167,1.6544,0.0624
70.333,1.6544,0.0624
70.500,1.6544,0.0624
70.667,1.6528,0.0623
70.833,1.6528,0.0638
71.000,1.6528,0.0638
71.167,1.6528,0.0638
71.333,1.6512,0.0637
71.500,1.6528,0.0638
71.667,1.6512,0.0637
71.833,1.6528,0.0623
72.000,1.6528,0.0623
72.167,1.6544,0.0624
72.333,1.6544,0.0624
72.500,1.6512,0.0637
72.667,1.6544,0.0624
72.833,1.6545,0.0594
73.000,1.6577,0.0595
73.167,1.6578,0.0580
74.000,1.6563,0.0519
74.167,1.6579,0.0520
74.333,1.6596,0.0460
74.500,1.6597,0.0445
74.667,1.6613,0.0416
74.833,1.6630,0.0402
75.000,1.6647,0.0357
75.167,1.6631,0.0342
76.000,1.6746,0.0226
76.333,1.6826,0.0214
77.000,1.6923,0.0187
77.500,1.6967,0.0368
78.333,1.6940,0.0878
78.500,1.6938,0.0968
78.833,1.6935,0.1119
79.000,1.6935,0.1119
81.333,1.6874,0.1705
81.500,1.6906,0.1737
81.667,1.6922,0.1722
81.833,1.6954,0.1723
82.833,1.7114,0.1790
83.000,1.7129,0.1851
83.167,1.7161,0.1867
83.667,1.7223,0.1960
83.833,1.7239,0.1976
84.167,1.7140,0.2079
84.333,1.6816,0.2128
84.667,1.6074,0.2161
84.833,1.5735,0.2179
85.167,1.5107,0.2202
85.333,1.4769,0.2205
85.667,1.4076,0.2240
85.833,1.3804,0.2230
86.500,1.3418,0.2231
86.667,1.3064,0.2264
86.833,1.2648,0.2248
87.000,1.2326,0.2267
87.167,1.2006,0.2270
87.500,1.1238,0.2257
87.667,1.0983,0.2248
87.833,1.0598,0.2264
88.000,1.0280,0.2237
88.167,0.9943,0.2270
88.333,0.9576,0.2257
88.500,0.9258,0.2245
88.667,0.8812,0.2244
88.833,0.8509,0.2248
89.000,0.8160,0.2220
89.167,0.7856,0.2254
89.333,0.7539,0.2227
89.500,0.7189,0.2230
89.667,0.6840,0.2232
89.833,0.6524,0.2205
90.000,0.6143,0.2206
90.167,0.5826,0.2194
90.333,0.5541,0.2184
90.500,0.5129,0.2184
90.667,0.4826,0.2218
90.833,0.4526,0.2207
91.000,0.4307,0.2169
91.167,0.4116,0.2192
91.333,0.3897,0.2153
91.667,0.3614,0.2143
91.833,0.3488,0.2138
92.000,0.3347,0.2118
92.167,0.3222,0.2098
92.333,0.3128,0.2095
92.500,0.3048,0.2107
92.667,0.2986,0.2090
93.000,0.2799,0.2053
93.167,0.2767,0.2067
93.667,0.2488,0.1996
94.167,0.2239,0.1957
94.500,0.2208,0.1956
94.667,0.2179,0.1925
94.833,0.2135,0.1878
95.500,0.2138,0.1833
95.667,0.2138,0.1833
95.833,0.2138,0.1833
96.333,0.2138,0.1833
96.500,0.2128,0.1758
96.667,0.2099,0.1727
96.833,0.2102,0.1697
97.000,0.2075,0.1636
97.167,0.2059,0.1636
97.333,0.2076,0.1621
97.500,0.2018,0.1559
97.667,0.2018,0.1559
97.833,0.1971,0.1557
98.000,0.1972,0.1543
98.167,0.1942,0.1526
98.333,0.1892,0.1555
98.500,0.1903,0.1615
98.667,0.1869,0.1659
98.833,0.1810,0.1806
99.000,0.1768,0.1940
99.333,0.1724,0.2103
99.500,0.1685,0.2192
99.667,0.1694,0.2283
99.833,0.1658,0.2342
100.000,0.1638,0.2401
100.167,0.1614,0.2506
100.333,0.1608,0.2581
100.500,0.1569,0.2670
100.833,0.1510,0.2819
101.000,0.1526,0.2819
101.167,0.1510,0.2819
101.333,0.1487,0.2909
101.500,0.1437,0.2952
101.667,0.1437,0.2952
101.833,0.1434,0.2982
102.000,0.1433,0.2997
102.167,0.1433,0.2997
102.333,0.1417,0.2997
102.500,0.1449,0.2998
102.667,0.1415,0.3027
102.833,0.1398,0.3041
103.000,0.1368,0.3025
103.167,0.1305,0.3023
103.333,0.1305,0.3023
103.500,0.1259,0.3006
103.833,0.1180,0.3003
104.000,0.1194,0.3019
104.167,0.1146,0.3032
104.333,0.1129,0.3046
104.500,0.1113,0.3046
104.667,0.1096,0.3060
104.833,0.1033,0.3058
105.000,0.1045,0.3104
105.333,0.0995,0.3147
105.833,0.0940,0.3236
106.167,0.0951,0.3297
106.333,0.0918,0.3311
106.667,0.0928,0.3387
107.000,0.1511,0.3409
107.333,0.2182,0.3329
107.667,0.2662,0.3271
107.833,0.2661,0.3286
108.000,0.2661,0.3286
108.333,0.3092,0.3242
108.500,0.3603,0.3185
108.833,0.4322,0.3121
