noise,frame_skip,spatial_interval,n_raw,n_resampled,raw_len_m,resampled_len_m,unique_area_m2,strip_area_m2,repeat_coverage,area_coverage,len_vs_truth_pct,repeat_vs_truth_pp
"# truth: len=8.9318m, unique=1.35547m², repeat=0.1073, cov=0.3138, 1mm-ref=1.35611m², noise_sigma=0.003m"
clean,1,0.0,1028,1028,8.9419,8.9419,1.35633,1.52012,0.1078,0.3140,+0.11,+0.05
noisy,1,0.0,1028,1028,10.0944,10.1352,1.36560,1.72298,0.2074,0.3161,+13.47,+10.01
clean,1,0.01,1028,896,8.9419,8.9188,1.35455,1.51620,0.1066,0.3136,-0.15,-0.07
noisy,1,0.01,1028,1015,10.0944,9.5015,1.36078,1.61526,0.1576,0.3150,+6.38,+5.02
clean,1,0.02,1028,449,8.9419,8.8951,1.35285,1.51217,0.1054,0.3132,-0.41,-0.19
noisy,1,0.02,1028,508,10.0944,9.1181,1.35715,1.55008,0.1245,0.3142,+2.09,+1.72
clean,1,0.05,1028,180,8.9419,8.8271,1.34498,1.50061,0.1037,0.3113,-1.17,-0.36
noisy,1,0.05,1028,204,10.0944,8.8895,1.34753,1.51122,0.1083,0.3119,-0.47,+0.10
clean,1,0.1,1028,91,8.9419,8.6791,1.31923,1.47544,0.1059,0.3054,-2.83,-0.14
noisy,1,0.1,1028,103,10.0944,8.6880,1.32288,1.47696,0.1043,0.3062,-2.73,-0.30
clean,1,0.2,1028,46,8.9419,8.3930,0.98278,1.42681,0.3112,0.2275,-6.03,+20.39
noisy,1,0.2,1028,52,10.0944,8.4757,1.09773,1.44086,0.2381,0.2541,-5.11,+13.08
clean,2,0.0,514,514,8.9315,8.9315,1.35498,1.51836,0.1076,0.3137,-0.00,+0.03
noisy,2,0.0,514,514,9.2048,9.2048,1.35860,1.56482,0.1318,0.3145,+3.06,+2.45
clean,2,0.01,514,895,8.9315,8.9091,1.35313,1.51455,0.1066,0.3132,-0.25,-0.07
noisy,2,0.01,514,922,9.2048,9.1041,1.35662,1.54769,0.1235,0.3140,+1.93,+1.61
clean,2,0.02,514,448,8.9315,8.8869,1.35157,1.51077,0.1054,0.3129,-0.50,-0.19
